Player,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,Best Move
2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54
1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,63
2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,44
1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,51
2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,46
1,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,13
2,2,2,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,58
1,2,2,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,2,1,2,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,14
2,2,2,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,2,1,2,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,12
1,2,2,2,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,2,2,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,2,1,2,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,39
2,2,2,2,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,2,2,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,2,1,1,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,6
1,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1,0,0,0,2,2,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,2,1,1,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,17
2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1,0,0,1,1,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,2,1,1,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,7
1,2,2,2,0,0,0,2,2,0,0,2,0,2,2,2,0,0,1,1,1,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,2,1,1,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,3
2,2,2,2,1,0,0,2,2,0,0,1,0,2,2,2,0,0,1,1,1,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,2,1,1,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,47
1,2,2,2,1,0,0,2,2,0,0,1,0,2,2,2,0,0,1,1,1,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,2,2,2,2,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,29
2,2,2,2,1,0,0,2,2,0,0,1,0,2,2,2,0,0,1,1,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0,2,1,2,2,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,1,60
1,2,2,2,1,0,0,2,2,0,0,1,0,2,2,2,0,0,1,1,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0,2,1,2,2,0,0,0,2,0,2,1,0,0,0,2,0,2,0,0,1,38
2,2,2,2,1,0,0,2,2,0,0,1,0,2,2,2,0,0,1,1,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2,1,1,1,0,0,1,0,2,1,1,2,0,0,0,2,0,2,1,0,0,0,2,0,2,0,0,1,49
1,2,2,2,1,0,0,2,2,0,0,1,0,2,2,2,0,0,1,1,1,1,2,0,0,0,0,1,1,2,1,0,0,0,0,0,2,2,1,1,1,0,0,2,0,2,1,1,2,0,2,0,2,0,2,1,0,0,0,2,0,2,0,0,1,61
2,2,2,2,1,0,0,2,2,0,0,1,0,2,2,2,0,0,1,1,1,1,2,0,0,0,0,1,1,2,1,0,0,0,0,0,2,2,1,1,1,0,0,2,0,2,1,1,2,0,2,0,2,0,1,1,0,0,0,2,0,2,1,0,1,8
1,2,2,2,1,0,0,2,2,2,0,1,0,2,2,2,0,0,2,1,1,1,2,0,0,0,0,2,1,2,1,0,0,0,0,0,2,2,1,1,1,0,0,2,0,2,1,1,2,0,2,0,2,0,1,1,0,0,0,2,0,2,1,0,1,24
2,2,2,2,1,0,0,2,2,2,0,1,0,2,2,2,0,0,1,1,1,1,2,0,0,1,0,2,1,2,1,0,0,0,0,0,2,2,1,1,1,0,0,2,0,2,1,1,2,0,2,0,2,0,1,1,0,0,0,2,0,2,1,0,1,34
1,2,2,2,1,0,0,2,2,2,0,1,0,2,2,2,0,0,1,1,1,2,2,0,0,1,0,2,2,2,1,0,0,0,0,2,2,2,1,1,1,0,0,2,0,2,1,1,2,0,2,0,2,0,1,1,0,0,0,2,0,2,1,0,1,43
2,2,2,2,1,0,0,2,2,2,0,1,0,2,2,2,0,0,1,1,1,2,2,0,0,1,0,2,1,2,1,0,0,0,0,2,1,1,1,1,1,0,0,2,1,1,1,1,2,0,2,0,2,0,1,1,0,0,0,2,0,2,1,0,1,52
1,2,2,2,1,0,0,2,2,2,0,1,0,2,2,2,0,0,1,1,1,2,2,0,0,1,0,2,1,2,1,0,0,0,0,2,1,2,1,1,1,0,0,2,2,2,1,1,2,0,2,0,2,2,1,1,0,0,0,2,0,2,1,0,1,33
